experiment_id,phase,config_description,hash_mode,rate_limit,lockout,captcha,pepper,totp,attack_type,target,target_category,success,total_attempts,time_to_crack,total_time_seconds,avg_latency_ms,attempts_per_second
41,2,Phase 2: BCRYPT - CAPTCHA,BCRYPT,False,False,True,False,False,brute_force,strong_user_01,strong,False,1,,0.37949061393737793,379.4905165063295,2.6351112867445416
42,2,Phase 2: BCRYPT - LOCKOUT,BCRYPT,False,True,False,False,False,brute_force,strong_user_01,strong,True,380,22680.798738479614,22680.798738479614,348.0180748736853,0.016754260040908638
43,2,Phase 2: BCRYPT - LOCKOUT + CAPTCHA,BCRYPT,False,True,True,False,False,brute_force,strong_user_01,strong,False,1,,0.3180670738220215,318.0671088938071,3.143990945002886
44,1,Phase 1: BCRYPT - No protections,BCRYPT,False,False,False,False,False,brute_force,strong_user_01,strong,True,455,158.27328777313232,158.27328777313232,348.57723443449777,2.874774425942256
45,2,Phase 2: BCRYPT - PEPPER,BCRYPT,False,False,False,True,False,brute_force,strong_user_01,strong,True,455,158.5651297569275,158.5651297569275,349.21376477997757,2.869483351714797
46,2,Phase 2: BCRYPT - RATE_LIMIT,BCRYPT,True,False,False,False,False,brute_force,strong_user_01,strong,True,455,384.0736804008484,384.0736804008484,350.45448674643194,1.1846685238236776
47,2,Phase 2: BCRYPT - RATE_LIMIT + CAPTCHA,BCRYPT,True,False,True,False,False,brute_force,strong_user_01,strong,False,1,,0.35233497619628906,352.33505633401256,2.838208147245906
48,2,Phase 2: BCRYPT - RATE_LIMIT + LOCKOUT,BCRYPT,True,True,False,False,False,brute_force,strong_user_01,strong,True,380,22681.344063282013,22681.344063282013,350.22890148852605,0.016753857220267995
49,2,Phase 2: BCRYPT - RATE_LIMIT + LOCKOUT + CAPTCHA + PEPPER + TOTP,BCRYPT,True,True,True,True,True,brute_force,strong_user_01,strong,False,1,,0.38632678985595703,386.3267737052105,2.588482151012237
50,2,Phase 2: BCRYPT - TOTP,BCRYPT,False,False,False,False,True,brute_force,strong_user_01,strong,False,100,,34.92968940734863,349.2968856347986,2.8628940507831038
51,2,Phase 2: SHA256 - CAPTCHA,SHA256,False,False,True,False,False,brute_force,strong_user_01,strong,False,1,,0.1876218318939209,187.62187358874593,5.329870143072624
52,2,Phase 2: SHA256 - LOCKOUT,SHA256,False,True,False,False,False,brute_force,strong_user_01,strong,True,380,22620.279819965363,22620.279819965363,148.79015429523824,0.01679908484883552
53,2,Phase 2: SHA256 - LOCKOUT + CAPTCHA,SHA256,False,True,True,False,False,brute_force,strong_user_01,strong,False,1,,0.1596693992614746,159.669427728472,6.2629408303991925
54,1,Phase 1: SHA256 - No protections,SHA256,False,False,False,False,False,brute_force,strong_user_01,strong,True,455,68.1077950000763,68.1077950000763,150.1039971579287,6.680586267687719
55,2,Phase 2: SHA256 - PEPPER,SHA256,False,False,False,True,False,brute_force,strong_user_01,strong,True,455,68.24569869041443,68.24569869041443,150.22524767323813,6.667086845488005
56,2,Phase 2: SHA256 - RATE_LIMIT,SHA256,True,False,False,False,False,brute_force,strong_user_01,strong,True,455,292.86417174339294,292.86417174339294,149.41869130284064,1.5536212480052705
57,2,Phase 2: SHA256 - RATE_LIMIT + CAPTCHA,SHA256,True,False,True,False,False,brute_force,strong_user_01,strong,False,1,,0.11890172958374023,118.90180107961085,8.410306591004792
58,2,Phase 2: SHA256 - RATE_LIMIT + LOCKOUT,SHA256,True,True,False,False,False,brute_force,strong_user_01,strong,True,380,22620.79833960533,22620.79833960533,149.66450762281977,0.016798699775979257
59,2,Phase 2: SHA256 - RATE_LIMIT + LOCKOUT + CAPTCHA + PEPPER + TOTP,SHA256,True,True,True,True,True,brute_force,strong_user_01,strong,False,1,,0.15801167488098145,158.0117801601545,6.328646289922731
60,2,Phase 2: SHA256 - TOTP,SHA256,False,False,False,False,True,brute_force,strong_user_01,strong,False,100,,15.016798734664917,150.16797683621354,6.659208914424555
61,2,Phase 2: ARGON2ID - CAPTCHA,ARGON2ID,False,False,True,False,False,brute_force,weak_user_01,weak,False,1,,0.2888925075531006,288.89244206949047,3.4614951023476874
62,2,Phase 2: ARGON2ID - LOCKOUT,ARGON2ID,False,True,False,False,False,brute_force,weak_user_01,weak,True,10,302.9469006061554,302.9469006061554,245.68359595973553,0.03300908502444278
63,2,Phase 2: ARGON2ID - LOCKOUT + CAPTCHA,ARGON2ID,False,True,True,False,False,brute_force,weak_user_01,weak,False,1,,0.27242231369018555,272.42223478592206,3.670771261186989
64,1,Phase 1: ARGON2ID - No protections,ARGON2ID,False,False,False,False,False,brute_force,weak_user_01,weak,True,11,2.6172685623168945,2.6172685623168945,258.3878890511142,4.202854899331549
65,2,Phase 2: ARGON2ID - PEPPER,ARGON2ID,False,False,False,True,False,brute_force,weak_user_01,weak,True,11,2.331491708755493,2.331491708755493,232.16546097906723,4.7180094866696285
66,2,Phase 2: ARGON2ID - RATE_LIMIT,ARGON2ID,True,False,False,False,False,brute_force,weak_user_01,weak,True,11,7.5408453941345215,7.5408453941345215,256.6451876319557,1.4587223878845341
67,2,Phase 2: ARGON2ID - RATE_LIMIT + CAPTCHA,ARGON2ID,True,False,True,False,False,brute_force,weak_user_01,weak,False,1,,0.23265695571899414,232.65684673921342,4.29817366478315
68,2,Phase 2: ARGON2ID - RATE_LIMIT + LOCKOUT,ARGON2ID,True,True,False,False,False,brute_force,weak_user_01,weak,True,10,302.97305369377136,302.97305369377136,241.83899124575447,0.0330062356308012
69,2,Phase 2: ARGON2ID - RATE_LIMIT + LOCKOUT + CAPTCHA + PEPPER + TOTP,ARGON2ID,True,True,True,True,True,brute_force,weak_user_01,weak,False,1,,0.24019932746887207,240.19942616547752,4.163208992038465
